Counter: 42, GPS precision: 2.0000000000000000, Latitude: 1.3010149000000000, Longitude: 103.7899721000000000, Xcovariance: 3.9287767410278320, Ycovariance: 4.4106245040893555, Zcovariance: 25.2138633728027344
Counter: 43, GPS precision: 2.0000000000000000, Latitude: 1.3010150000000000, Longitude: 103.7899724999999904, Xcovariance: 3.8939366340637207, Ycovariance: 4.3784103393554688, Zcovariance: 25.0590419769287109
Counter: 44, GPS precision: 2.0000000000000000, Latitude: 1.3010151999999999, Longitude: 103.7899731999999915, Xcovariance: 3.8597040176391602, Ycovariance: 4.3466715812683105, Zcovariance: 24.8884334564208984
Counter: 45, GPS precision: 2.0000000000000000, Latitude: 1.3010153000000000, Longitude: 103.7899733999999938, Xcovariance: 3.8269536495208740, Ycovariance: 4.3170452117919922, Zcovariance: 24.7237625122070312
Counter: 46, GPS precision: 2.0000000000000000, Latitude: 1.3010154000000000, Longitude: 103.7899741999999890, Xcovariance: 3.7987856864929199, Ycovariance: 4.2890772819519043, Zcovariance: 24.5893192291259766
Counter: 47, GPS precision: 2.0000000000000000, Latitude: 1.3010154999999999, Longitude: 103.7899747999999960, Xcovariance: 3.7704410552978516, Ycovariance: 4.2612423896789551, Zcovariance: 24.4548454284667969
Counter: 48, GPS precision: 2.0000000000000000, Latitude: 1.3010150999999999, Longitude: 103.7899752999999947, Xcovariance: 3.7430884838104248, Ycovariance: 4.2355170249938965, Zcovariance: 24.3247871398925781
Counter: 49, GPS precision: 2.0000000000000000, Latitude: 1.3010150999999999, Longitude: 103.7899761999999981, Xcovariance: 3.7146735191345215, Ycovariance: 4.2067561149597168, Zcovariance: 24.1717700958251953
Counter: 50, GPS precision: 2.0000000000000000, Latitude: 1.3010150999999999, Longitude: 103.7899768999999992, Xcovariance: 3.6867060661315918, Ycovariance: 4.1771259307861328, Zcovariance: 24.0160942077636719
Counter: 51, GPS precision: 2.0000000000000000, Latitude: 1.3010150999999999, Longitude: 103.7899777999999884, Xcovariance: 3.6591424942016602, Ycovariance: 4.1455526351928711, Zcovariance: 23.8474178314208984
Counter: 52, GPS precision: 2.0000000000000000, Latitude: 1.3010150000000000, Longitude: 103.7899785999999978, Xcovariance: 3.6319594383239746, Ycovariance: 4.1145296096801758, Zcovariance: 23.6813983917236328
Counter: 53, GPS precision: 2.0000000000000000, Latitude: 1.3010150000000000, Longitude: 103.7899790999999965, Xcovariance: 3.6050000190734863, Ycovariance: 4.0821924209594727, Zcovariance: 23.5146503448486328
